country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",08-04-2025 15:00,16.554731,80.64911,NO2,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",08-04-2025 15:00,16.554731,80.64911,NH3,NA,NA,NA
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",08-04-2025 15:00,26.071318,91.87488,CO,41,60,58
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",08-04-2025 15:00,26.071318,91.87488,OZONE,21,66,35
India,Assam,Guwahati,"IITG, Guwahati - PCBA",08-04-2025 15:00,26.2028636,91.70046436,PM2.5,70,313,152
India,Assam,Guwahati,"IITG, Guwahati - PCBA",08-04-2025 15:00,26.2028636,91.70046436,PM10,101,275,150
India,Assam,Guwahati,"IITG, Guwahati - PCBA",08-04-2025 15:00,26.2028636,91.70046436,NH3,5,5,5
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",08-04-2025 15:00,26.80365,84.51954,SO2,7,25,18
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",08-04-2025 15:00,25.251013,86.989001,PM10,30,105,56
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",08-04-2025 15:00,25.265194,87.012947,NO2,9,11,10
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",08-04-2025 15:00,25.265194,87.012947,NH3,3,4,4
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",08-04-2025 15:00,25.204762,85.51496,NO2,9,10,9
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",08-04-2025 15:00,25.204762,85.51496,NH3,1,2,2
India,Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",08-04-2025 15:00,11.654054,92.734055,SO2,4,23,14
India,Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",08-04-2025 15:00,11.654054,92.734055,OZONE,3,21,12
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",08-04-2025 15:00,16.5150833,80.5181667,CO,16,93,59
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",08-04-2025 15:00,14.675886,77.593027,SO2,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",08-04-2025 15:00,16.536107,80.594233,NO2,14,23,16
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",08-04-2025 15:00,16.486692,80.699436,SO2,10,20,13
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",08-04-2025 15:00,16.509717,80.612222,NO2,42,61,51
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",08-04-2025 15:00,16.554731,80.64911,PM2.5,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",08-04-2025 15:00,16.554731,80.64911,PM10,NA,NA,NA
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)",08-04-2025 15:00,13.67,79.35,NO2,15,22,18
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)",08-04-2025 15:00,13.67,79.35,NH3,1,2,1
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)",08-04-2025 15:00,13.67,79.35,OZONE,8,49,28
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",08-04-2025 15:00,13.615387,79.40923,SO2,16,20,17
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",08-04-2025 15:00,26.10887,91.589544,PM10,57,329,162
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",08-04-2025 15:00,26.10887,91.589544,NH3,14,17,16
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",08-04-2025 15:00,26.1875,91.744194,PM10,94,167,120
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",08-04-2025 15:00,26.181742,91.78063,NO2,3,3,3
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",08-04-2025 15:00,26.349082,92.68449,NH3,3,4,4
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",08-04-2025 15:00,26.446912,91.439057,NO2,1,7,3
India,Assam,Silchar,"Tarapur, Silchar - PCBA",08-04-2025 15:00,24.82827,92.79525,NH3,1,3,3
India,Assam,Silchar,"Tarapur, Silchar - PCBA",08-04-2025 15:00,24.82827,92.79525,CO,22,32,26
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",08-04-2025 15:00,26.987634,94.636574,PM10,65,98,81
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",08-04-2025 15:00,26.987634,94.636574,CO,9,32,22
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",08-04-2025 15:00,25.5626095,84.663264,PM2.5,28,50,38
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",08-04-2025 15:00,24.75746,84.366208,NO2,2,3,2
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",08-04-2025 15:00,25.42742023,86.13886079,PM2.5,NA,NA,NA
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",08-04-2025 15:00,13.20488,79.097889,PM2.5,37,91,62
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",08-04-2025 15:00,14.465052,78.824187,SO2,14,16,15
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",08-04-2025 15:00,25.586562,85.043586,NO2,29,36,32
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",08-04-2025 15:00,25.586562,85.043586,NH3,2,3,3
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",08-04-2025 15:00,25.586562,85.043586,CO,38,58,50
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",08-04-2025 15:00,25.592539,85.227158,PM2.5,38,79,60
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",08-04-2025 15:00,25.592539,85.227158,PM10,90,127,111
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",08-04-2025 15:00,25.592539,85.227158,NH3,11,14,12
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",08-04-2025 15:00,25.592539,85.227158,CO,34,68,50
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",08-04-2025 15:00,25.610369,85.132568,SO2,13,32,26
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",08-04-2025 15:00,25.610369,85.132568,OZONE,39,43,42
India,Bihar,Patna,"Muradpur, Patna - BSPCB",08-04-2025 15:00,25.619651,85.147382,PM2.5,103,185,133
India,Bihar,Patna,"Muradpur, Patna - BSPCB",08-04-2025 15:00,25.619651,85.147382,PM10,123,208,162
India,Bihar,Patna,"Muradpur, Patna - BSPCB",08-04-2025 15:00,25.619651,85.147382,OZONE,6,41,23
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",08-04-2025 15:00,25.599486,85.113666,PM10,73,119,99
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",08-04-2025 15:00,25.599486,85.113666,NO2,6,27,10
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",08-04-2025 15:00,25.599486,85.113666,SO2,1,2,2
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",08-04-2025 15:00,25.599486,85.113666,OZONE,30,99,41
India,Bihar,Patna,"Samanpura, Patna - BSPCB",08-04-2025 15:00,25.596727,85.085624,PM10,112,172,142
India,Bihar,Patna,"Samanpura, Patna - BSPCB",08-04-2025 15:00,25.596727,85.085624,NH3,6,7,6
India,Bihar,Patna,"Samanpura, Patna - BSPCB",08-04-2025 15:00,25.596727,85.085624,SO2,3,4,4
